stock,headline,source,date,time,cleaned_headline,neg,neu,pos,compound,sentiment_label
TSLA,"Polestar Upgrades Model, Hits EV Production Milestone. Why Its Still Losing Ground to Tesla.",(Barrons.com),Aug-23-23,09:07AM,polestar upgrade model hit ev production milestone still losing ground tesla,0.167,0.833,0.0,-0.3818,Negative
TSLA,15 Highest Paying Countries for Engineers,(Insider Monkey),Aug-23-23,09:07AM,highest paying country engineer,0.0,1.0,0.0,0.0,Neutral
TSLA,Tesla's German plant lowers production target amid slower output - Business Insider,(Reuters),Aug-23-23,09:07AM,tesla german plant lower production target amid slower output business insider,0.13,0.87,0.0,-0.128,Negative
TSLA,"Down 9% in the Past 5 Days, Is Now the Right Time to Buy Bitcoin?",(Motley Fool),Aug-23-23,09:07AM,past day right time buy bitcoin,0.0,1.0,0.0,0.0,Neutral
TSLA,Tesla's German plant lowers production target amid slower output - Business Insider,(Reuters),Aug-23-23,09:07AM,tesla german plant lower production target amid slower output business insider,0.13,0.87,0.0,-0.128,Negative
TSLA,"Malaysia was so eager to get Elon Musk to invest in the country, it waived its decades-old policies for Tesla",(Fortune),Aug-23-23,09:07AM,malaysia eager get elon musk invest country waived decadesold policy tesla,0.0,0.854,0.146,0.5009,Positive
TSLA,Buying These 2 Stocks Could Be the Smartest Investing Move You Ever Make,(Motley Fool),Aug-23-23,09:07AM,buying stock could smartest investing move ever make,0.0,0.733,0.267,0.6124,Positive
TSLA,Is Nvidia the New Tesla? Options Traders Place Their Bets,(The Wall Street Journal),Aug-23-23,09:07AM,nvidia new tesla option trader place bet,0.0,1.0,0.0,0.0,Neutral
TSLA,"How to Trade an Uncertain China: Buy Qualcomm Stock, Sell Tesla",(Barrons.com),Aug-23-23,09:07AM,trade uncertain china buy qualcomm stock sell tesla,0.18,0.82,0.0,-0.296,Negative
TSLA,Graphite Wars: The Trillion Dollar Battery Race Has A Big Problem,(Oilprice.com),Aug-22-23,07:01PM,graphite war trillion dollar battery race big problem,0.441,0.559,0.0,-0.743,Negative
TSLA,"Car buyers feeling the pinch of higher prices, payments",(Yahoo Finance Video),Aug-22-23,07:01PM,car buyer feeling pinch higher price payment,0.0,0.842,0.158,0.128,Positive
TSLA,Hot new bad idea,(Financial Times),Aug-22-23,07:01PM,hot new bad idea,0.538,0.462,0.0,-0.5423,Negative
TSLA,Tesla Rebound Hits Resistance As Another Executive Steps Down,(Investor's Business Daily),Aug-22-23,07:01PM,tesla rebound hit resistance another executive step,0.0,1.0,0.0,0.0,Neutral
TSLA,Tesla is testing a new feature that may be extremely helpful (especially in these areas),(TheStreet.com),Aug-22-23,07:01PM,tesla testing new feature may extremely helpful especially area,0.0,0.808,0.192,0.4754,Positive
TSLA,Tesla to lease huge warehouses in Kyle,(American City Business Journals),Aug-22-23,07:01PM,tesla lease huge warehouse kyle,0.0,0.723,0.277,0.3182,Positive
TSLA,Rishi Sunak to woo Elon Musk after Tesla billionaires meetings with Macron,(The Telegraph),Aug-22-23,07:01PM,rishi sunak woo elon musk tesla billionaire meeting macron,0.0,0.78,0.22,0.4767,Positive
TSLA,Today's EV Updates,(Benzinga),Aug-22-23,07:01PM,today ev update,0.0,1.0,0.0,0.0,Neutral
TSLA,Has Nvidia become the new Tesla for markets?,(Yahoo Finance Video),Aug-22-23,07:01PM,nvidia become new tesla market,0.0,1.0,0.0,0.0,Neutral
TSLA,"Tesla Stock Surges on Cybertruck Launch, Model 3 Refresh",(Zacks),Aug-22-23,07:01PM,tesla stock surge cybertruck launch model refresh,0.0,1.0,0.0,0.0,Neutral
TSLA,Tesla Stock Has Been Dead Money for Some Investors,(Barrons.com),Aug-22-23,07:01PM,tesla stock dead money investor,0.35,0.65,0.0,-0.6486,Negative
TSLA,Elon Musk takes a jab at Tesla's competitors,(TheStreet.com),Aug-22-23,07:01PM,elon musk take jab tesla competitor,0.0,1.0,0.0,0.0,Neutral
TSLA,Tesla Rebound Gathers Momentum After Q2 Selloff; Are China Concerns Overblown?,(Investor's Business Daily),Aug-22-23,07:01PM,tesla rebound gather momentum q selloff china concern overblown,0.0,1.0,0.0,0.0,Neutral
TSLA,Texas Mandates Tesla's (TSLA) NACS Plugs for New Stations,(Zacks),Aug-22-23,07:01PM,texas mandate tesla tsla nac plug new station,0.0,1.0,0.0,0.0,Neutral
TSLA,3 Catalysts to Take Tesla Stock to $300,(Motley Fool),Aug-22-23,07:01PM,catalyst take tesla stock,0.0,1.0,0.0,0.0,Neutral
TSLA,"Prediction: 3 Unstoppable Stocks Set to Join Apple, Microsoft, Amazon, Alphabet, and Nvidia in the $1 Trillion Club by 2030",(Motley Fool),Aug-22-23,07:01PM,prediction unstoppable stock set join apple microsoft amazon alphabet nvidia trillion club,0.083,0.737,0.18,0.2732,Positive
